,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,runtime
7528,332,Inspector Gadget,1999-07-23,"['Action', 'Adventure', 'Comedy', 'Family']",English,4.4,1056,13.321,"John Brown is a bumbling but well-intentioned security guard who is badly injured in an explosion planned by an evil mastermind. He is taken to a laboratory, where Brenda, a leading robotics surgeon, replaces his damaged limbs with state-of-the-art gadgets and tools. Named ""Inspector Gadget"" by the press, John -- along with his niece, Penny, and her trusty dog, Brain -- uses his new powers to discover who was behind the explosion.",78
7529,1969,Bandidas,2006-01-18,"['Action', 'Comedy', 'Western', 'Crime']",English,6.0,992,8.571,"Set in the late 19th century. When a ruthless robber baron takes away everything they cherish, a rough-and-tumble, idealistic peasant and a sophisticated heiress embark on a quest for justice, vengeance…and a few good heists.",93
7530,86828,Absolutely Anything,2015-06-26,"['Comedy', 'Science Fiction']",English,5.9,1252,15.074,Eccentric aliens give a man the power to do anything he wants to determine if Earth is worth saving.,85
7531,11348,Fragile,2005-10-14,"['Horror', 'Thriller', 'Mystery']",English,6.5,482,14.721,"Haunted by memories of a patient's death, a nurse  takes a job at an antiquated hospital for children. Soon she learns that the kids fear a ghost that prowls the floors and will not allow anyone to leave. Amy tries to protect them and convince the other staffers of the evil that lurks there.",101
7532,1921,Sweet November,2001-02-16,"['Drama', 'Romance']",English,6.9,1152,15.02,"Nelson is a man devoted to his advertising career in San Francisco. One day, while taking a driving test at the DMV, he meets Sara. She is very different from the other women in his life. Nelson causes her to miss out on taking the test and later that day she tracks him down. One thing leads to another and Nelson ends up living with her through a November that will change his life forever.",119
7533,146238,Runner Runner,2013-09-24,"['Crime', 'Thriller', 'Drama']",English,5.6,1132,13.073,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",91
7534,430214,"Night Is Short, Walk On Girl",2017-04-07,"['Comedy', 'Romance', 'Animation', 'Fantasy']",Japanese,7.5,164,16.575,"As a group of university students go out for a night on the town, a sophomore known only as ""The Girl with Black Hair"" experiences a series of surreal encounters with the local nightlife – all the while unaware of the romantic longings of ""Senpai"", a senior student who has been creating increasingly fantastic and contrived reasons to run into her in an effort to win her heart.",93
7535,671039,Rogue City,2020-10-30,"['Crime', 'Thriller', 'Action', 'Drama']",French,5.9,519,12.838,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",116
7536,21683,Batman: Mystery of the Batwoman,2003-10-21,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Science Fiction']",English,6.7,333,12.569,"As if the Penguin wasn't enough to contend with, a new vigilante has surfaced in Gotham City, and her strong-arm tactics give Batman cause for concern.",74
7537,414770,Antiporno,2017-01-28,"['Drama', 'Mystery']",Japanese,6.8,347,15.575,Young artist Kyoko wreaks havoc on everyone that she encounters when Japan's oldest major movie studio asks a batch of venerable filmmakers to revive its high-brow soft-core Roman Porno series.,76
7538,16614,Adventureland,2009-04-03,"['Comedy', 'Drama']",English,6.4,1936,13.719,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.",107
7539,1017204,Naruto ga Hokage Ni Natta Hi,2016-07-06,"['Animation', 'Drama', 'Fantasy']",Japanese,6.3,16,13.053,Depicts the day that Naruto Uzumaki became the 7th Hokage.,11
7540,308504,Last Knights,2015-04-03,"['Action', 'Adventure']",English,6.5,971,12.022,"When an evil emperor executes their leader, his band of knights – bound by duty and honour – embarks on a journey of vengeance that will not come to an end until they've destroyed their mortal foe.",115
7541,60670,The Crimson Rivers,2000-09-27,"['Crime', 'Mystery', 'Thriller']",French,6.9,1330,14.818,"Two French policemen, one investigating a grisly murder at a remote mountain college, the other working on the desecration of a young girl's grave by skinheads, are brought together by the clues from their respective cases. Soon after they start working together, more murders are committed, and the pair begin to discover just what dark secrets are behind the killings.",106
7542,348668,A Conspiracy of Faith,2016-03-03,"['Crime', 'Drama', 'Mystery', 'Thriller']",Danish,7.0,493,13.823,"Denmark, 2016. A blurred note is found in a bottle that has traveled across the ocean for a long time. After deciphering the cryptic note, Department Q members follow a sinister trail that leads them to investigate a case that occurred in 2008. At the same time, new tragic events take place that test their faith and deepest beliefs.",108
7543,329103,Russian Lolita,2007-01-03,['Romance'],Russian,4.9,89,10.799,"The action of a controversial novel ""Lolita"", of the famous Russian writer Vladimir Nabokov, reset to present day Russia. A mother and her daughter are running short of money and are thankful that they could rent a room to a writer. The mother is lonely and the daughter is coming of age. The mother immediately gets in love with him, which causing to the daughter a terrible jealousy. And then the daughter chooses the most unfailing weapon - she tries to discourage him from her mother. She tries to get his attention by parading around without panties, asking his help with her shower, and rubbing up against him and flashing him whenever her mother is not looking. She is even trying to convince her mom, that since she is becoming a woman, that he should teach her some of the finer points of love. Could the grown man resist the charms of a 14 year-old nymphet?",93
